C_stage_nF,E_peek_MVpm,V_onset_kV,k_geo_ApV2,I_ion_mA,power_W,thrust_N_UPPER_BOUND,thrust_gf_UPPER_BOUND,efficiency_N_per_kW_UPPER_BOUND,corona_onset_margin,mean_gap_breakdown_margin,droop_V,droop_pct,ripple_Vpp
3.875,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,114.9649220979822,0.522567827718101,18.15235612073403
3.9875000000000003,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,111.72139765007674,0.5078245347730761,17.640220681591064
4.1000000000000005,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,108.65587149504414,0.49389032497747337,17.1561902360596
4.2125,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,105.75408264206077,0.4807003756457307,16.698013048746436
4.325000000000001,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,103.0032539028164,0.4681966086491654,16.263671668865747
4.4375,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,100.39190380387177,0.45632683547214437,15.85135323219028
4.55,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,97.90968640212769,0.44504402910058044,15.459424168757005
4.6625000000000005,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,95.54725429054821,0.4343057013206737,15.086408572191823
4.775,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,93.2961409695667,0.424073368043485,14.730969626773687
4.8875,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,91.14865946387334,0.41431208847215156,14.39189359955895
5.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,89.0978146259362,0.40499006648152813,14.068075993568874
