r_wire_um,E_peek_MVpm,V_onset_kV,k_geo_ApV2,I_ion_mA,power_W,thrust_N_UPPER_BOUND,thrust_gf_UPPER_BOUND,efficiency_N_per_kW_UPPER_BOUND,corona_onset_margin,mean_gap_breakdown_margin,droop_V,droop_pct,ripple_Vpp
32.50000000000001,15.87863994934962,3.0506235167558025,2.7668749999999996e-12,1.1534722332556782,25.376389131624922,0.09227777866045428,9.406501392502985,3.636363636363637,7.211640466010695,1.6363636363636365,438.3194486371577,1.9923611301688984,69.2083339953407
33.12500000000001,15.751635756485715,3.074481087250995,2.7668749999999996e-12,1.1520199931176727,25.3444398485888,0.09216159944941384,9.39465845559774,3.636363636363637,7.155679080683823,1.6363636363636365,437.7675973847156,1.989852715385071,69.12119958706036
33.75,15.628175996298104,3.0980788337419147,2.7668749999999996e-12,1.1505835687915873,25.31283851341492,0.092046685503327,9.382944495751987,3.6363636363636367,7.101175012202,1.6363636363636365,437.22175614080317,1.9873716188218327,69.03501412749523
34.375,15.508098814485555,3.121424385364353,2.7668749999999996e-12,1.14916249588239,25.28157490941258,0.09193299967059121,9.371355725850275,3.6363636363636367,7.048064371878743,1.6363636363636365,436.68174843530824,1.9849170383423103,68.9497497529434
35.00000000000001,15.391252518636602,3.144525011664988,2.7668749999999996e-12,1.1477563318836876,25.25063930144113,0.09182050655069503,9.35988853727778,3.6363636363636367,6.996287171635906,1.6363636363636365,436.1474061158013,1.9824882096172787,68.86537991302126
35.625,15.277494772381147,3.167387645652892,2.7668749999999996e-12,1.1463646547745514,25.22002240504013,0.09170917238196412,9.348539488477483,3.6363636363636367,6.945787021109994,1.6363636363636365,435.61856881432954,1.980084403701498,68.78187928647309
36.25,15.166691866296146,3.1900189049965086,2.7668749999999996e-12,1.1449870617292313,25.189715358043085,0.0915989649383385,9.337305294427981,3.6363636363636367,6.896510853130533,1.6363636363636365,435.0950834571079,1.977704924805036,68.69922370375387
36.875,15.05871805707251,3.212425111544548,2.7668749999999996e-12,1.143623167928894,25.159709694435666,0.09148985343431153,9.326182816953263,3.6363636363636367,6.848408674474066,1.6363636363636365,434.5768038129797,1.9753491082408168,68.61739007573364
37.5,14.953454967516684,3.234612309329369,2.7668749999999996e-12,1.1422726054657346,25.12999732024616,0.09138180843725877,9.315169055785807,3.6363636363636362,6.801433339181613,1.6363636363636365,434.06359007697915,1.9730163185317235,68.53635632794408
38.12500000000001,14.850791040877263,3.2565862811940454,2.7668749999999996e-12,1.1409350223308667,25.10057049127907,0.09127480178646935,9.304261140312878,3.6363636363636367,6.755540342058303,1.6363636363636365,433.55530848572937,1.9707059476624063,68.45610133985201
